Modelo,Melhor_Parametro,AUC_ROC_CV_Treino
SVM (rbf),"{'svm__C': 0.1, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.8264858906525573
Rede Neural MLP,"{'mlp__activation': 'tanh', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (30,)}",0.5804144620811288
