Pares de ROIs com correlação absoluta maior que 0.5:
                          ROI_1                           ROI_2  Correlacao
         ctx-rh-parahippocampal          ctx-lh-parahippocampal    0.682690
                  Left-Pallidum      Left-Cerebral-White-Matter    0.681973
          ctx-rh-middletemporal         ctx-rh-inferiortemporal    0.679532
                     Brain-Stem          Left-Cerebellum-Cortex    0.678891
    ctx-lh-rostralmiddlefrontal  ctx-lh-caudalanteriorcingulate    0.678486
          ctx-rh-middletemporal         ctx-lh-inferiorparietal    0.677968
    ctx-lh-lateralorbitofrontal      Left-Cerebral-White-Matter    0.677834
        ctx-rh-isthmuscingulate         ctx-lh-isthmuscingulate    0.676383
                  ctx-rh-insula     ctx-lh-lateralorbitofrontal    0.675959
         ctx-lh-superiorfrontal  ctx-lh-caudalanteriorcingulate    0.675907
              ctx-lh-precentral              ctx-lh-paracentral    0.675633
          ctx-lh-middletemporal      Left-Cerebral-White-Matter    0.674195
           ctx-rh-supramarginal                ctx-rh-precuneus    0.674076
                  Right-Putamen                   Right-Caudate    0.673247
         ctx-rh-superiorfrontal              ctx-rh-postcentral    0.672903
                  Left-Pallidum                   Left-Thalamus    0.672716
      ctx-rh-posteriorcingulate       ctx-lh-posteriorcingulate    0.672484
         ctx-rh-superiorfrontal      Left-Cerebral-White-Matter    0.672370
              ctx-rh-entorhinal               Right-Hippocampus    0.672230
                  ctx-lh-insula     ctx-lh-lateralorbitofrontal    0.671732
    ctx-rh-rostralmiddlefrontal     ctx-lh-lateralorbitofrontal    0.670957
             ctx-rh-paracentral               ctx-lh-precentral    0.670276
                  ctx-lh-insula         ctx-lh-superiortemporal    0.670133
     ctx-rh-medialorbitofrontal                   ctx-lh-insula    0.669874
                  ctx-rh-cuneus                   ctx-lh-cuneus    0.668156
              ctx-lh-precentral     ctx-lh-lateralorbitofrontal    0.668109
         ctx-rh-superiorfrontal      ctx-lh-medialorbitofrontal    0.667838
                            CSF                   3rd-Ventricle    0.667612
           ctx-lh-supramarginal                ctx-lh-precuneus    0.667340
         ctx-rh-superiorfrontal                  Right-Thalamus    0.667296
           ctx-lh-supramarginal     ctx-lh-lateralorbitofrontal    0.666450
        ctx-rh-inferiortemporal     ctx-lh-lateralorbitofrontal    0.666253
                  ctx-rh-insula         ctx-rh-superiortemporal    0.666236
               ctx-rh-precuneus            ctx-lh-supramarginal    0.665912
               ctx-rh-precuneus         ctx-rh-inferiorparietal    0.665300
                   Left-Putamen                    Left-Caudate    0.663763
                 ctx-rh-lingual         ctx-rh-lateraloccipital    0.662533
        ctx-lh-superiortemporal      ctx-lh-medialorbitofrontal    0.661814
           ctx-rh-supramarginal                ctx-lh-precuneus    0.661214
                  3rd-Ventricle          Left-Lateral-Ventricle    0.660594
        ctx-rh-superiortemporal     ctx-lh-lateralorbitofrontal    0.660383
             ctx-rh-postcentral      Left-Cerebral-White-Matter    0.660257
        ctx-rh-lateraloccipital      Left-Cerebral-White-Matter    0.658867
    ctx-lh-rostralmiddlefrontal      ctx-lh-medialorbitofrontal    0.658513
               ctx-rh-precuneus         ctx-lh-inferiorparietal    0.658383
                  ctx-lh-insula ctx-lh-rostralanteriorcingulate    0.657888
        ctx-rh-superiortemporal         ctx-lh-inferiortemporal    0.657838
    ctx-lh-rostralmiddlefrontal     ctx-lh-lateralorbitofrontal    0.657800
        ctx-rh-superiortemporal                   ctx-lh-insula    0.657314
           ctx-lh-supramarginal           ctx-lh-middletemporal    0.657073
               ctx-lh-precuneus         ctx-lh-inferiorparietal    0.656587
     ctx-rh-caudalmiddlefrontal          ctx-lh-superiorfrontal    0.655859
               ctx-lh-precuneus         ctx-lh-isthmuscingulate    0.655315
         ctx-rh-superiorfrontal                ctx-rh-precuneus    0.655289
        ctx-rh-lateraloccipital                  ctx-lh-lingual    0.654873
                  ctx-lh-insula      ctx-lh-medialorbitofrontal    0.654106
        ctx-lh-superiortemporal         ctx-lh-inferiortemporal    0.653528
              ctx-lh-precentral                  Right-Thalamus    0.653136
        ctx-rh-inferiorparietal            ctx-lh-supramarginal    0.652901
    ctx-rh-rostralmiddlefrontal      Left-Cerebral-White-Matter    0.652481
               ctx-rh-precuneus           ctx-rh-middletemporal    0.651113
    ctx-rh-rostralmiddlefrontal      ctx-lh-medialorbitofrontal    0.650998
        ctx-rh-superiortemporal      ctx-lh-medialorbitofrontal    0.650314
   Left-Cerebellum-White-Matter      Left-Cerebral-White-Matter    0.649607
            Left_choroid_volume            Right_choroid_volume    0.649441
           ctx-rh-supramarginal           ctx-lh-middletemporal    0.649210
                  ctx-rh-cuneus         ctx-lh-lateraloccipital    0.648166
 ctx-lh-caudalanteriorcingulate      Left-Cerebral-White-Matter    0.647447
                  ctx-rh-insula      ctx-lh-medialorbitofrontal    0.646655
               ctx-rh-precuneus          ctx-lh-superiorfrontal    0.646233
               ctx-lh-precuneus      Left-Cerebral-White-Matter    0.646189
        ctx-lh-superiortemporal          ctx-lh-superiorfrontal    0.646016
              ctx-rh-entorhinal                Left-Hippocampus    0.645948
         ctx-lh-superiorfrontal      ctx-lh-medialorbitofrontal    0.645868
         ctx-rh-superiorfrontal       ctx-lh-posteriorcingulate    0.645799
                  Right-Caudate                    Left-Putamen    0.645771
         ctx-rh-superiorfrontal                   Left-Thalamus    0.644833
              ctx-rh-entorhinal                   Left-Amygdala    0.644217
ctx-rh-rostralanteriorcingulate ctx-lh-rostralanteriorcingulate    0.644171
                 Left-VentralDC                    Left-Putamen    0.644133
         ctx-rh-superiorfrontal         ctx-lh-superiortemporal    0.643818
    ctx-lh-rostralmiddlefrontal      Left-Cerebral-White-Matter    0.643409
         ctx-lh-superiorfrontal ctx-lh-rostralanteriorcingulate    0.643320
               ctx-rh-precuneus      Left-Cerebral-White-Matter    0.642483
              Right-Hippocampus                   Left-Amygdala    0.642302
                   Left-Putamen                   Left-Thalamus    0.641959
                   hpcr_wm_left               ctx-rh-entorhinal    0.641908
               ctx-lh-precuneus              ctx-lh-postcentral    0.641841
              ctx-lh-precentral      Left-Cerebral-White-Matter    0.641639
ctx-lh-rostralanteriorcingulate      Left-Cerebral-White-Matter    0.641543
                  Right-Putamen                   Left-Pallidum    0.641256
           ctx-lh-supramarginal         ctx-lh-superiortemporal    0.640932
                 Left-VentralDC          Left-Cerebellum-Cortex    0.640757
         ctx-rh-superiorfrontal         ctx-lh-lateraloccipital    0.639876
               ctx-rh-precuneus         ctx-lh-isthmuscingulate    0.639681
               ctx-lh-precuneus           ctx-lh-middletemporal    0.639312
        ctx-rh-inferiorparietal                ctx-lh-precuneus    0.639297
          ctx-rh-middletemporal                ctx-lh-precuneus    0.639230
          ctx-rh-middletemporal         ctx-lh-superiortemporal    0.639123
ctx-lh-rostralanteriorcingulate      ctx-lh-medialorbitofrontal    0.638715
        ctx-rh-superiortemporal           ctx-rh-middletemporal    0.638484
    ctx-lh-lateralorbitofrontal  ctx-lh-caudalanteriorcingulate    0.638354
         ctx-rh-superiorfrontal         ctx-lh-inferiortemporal    0.637935
                  ctx-rh-insula      ctx-rh-medialorbitofrontal    0.637548
              ctx-lh-precentral                   Left-Thalamus    0.637457
         ctx-rh-superiorfrontal      ctx-rh-medialorbitofrontal    0.637108
        ctx-rh-inferiortemporal            ctx-lh-supramarginal    0.637049
             ctx-lh-paracentral     ctx-lh-lateralorbitofrontal    0.636828
          ctx-lh-middletemporal         ctx-lh-isthmuscingulate    0.636784
          ctx-rh-middletemporal      Left-Cerebral-White-Matter    0.636121
                Right-VentralDC          Left-Cerebellum-Cortex    0.635962
               ctx-rh-precuneus              ctx-lh-paracentral    0.635673
        ctx-rh-lateraloccipital                   ctx-lh-cuneus    0.635554
          ctx-lh-middletemporal     ctx-lh-lateralorbitofrontal    0.635540
             ctx-rh-postcentral                ctx-lh-precuneus    0.635177
             ctx-rh-postcentral            ctx-lh-supramarginal    0.634619
        Right-Lateral-Ventricle                   3rd-Ventricle    0.634425
          ctx-rh-middletemporal            ctx-lh-supramarginal    0.634310
               ctx-rh-precuneus              ctx-rh-postcentral    0.634086
        ctx-rh-inferiortemporal         ctx-lh-superiortemporal    0.633806
    ctx-lh-lateralorbitofrontal         ctx-lh-lateraloccipital    0.633550
          ctx-rh-middletemporal     ctx-lh-lateralorbitofrontal    0.633355
        ctx-rh-superiortemporal           ctx-lh-middletemporal    0.632884
                 Left-VentralDC                   Left-Amygdala    0.632717
             Right-Inf-Lat-Vent         Right-Lateral-Ventricle    0.631638
          ctx-rh-middletemporal                 ctx-rh-fusiform    0.631620
             ctx-lh-postcentral      Left-Cerebral-White-Matter    0.631451
                 Right-Thalamus                   Left-Pallidum    0.631340
     ctx-rh-medialorbitofrontal          ctx-lh-superiorfrontal    0.631178
     ctx-rh-caudalmiddlefrontal               ctx-lh-precentral    0.631090
         ctx-rh-superiorfrontal         ctx-rh-inferiortemporal    0.630983
           ctx-lh-supramarginal               ctx-lh-precentral    0.630961
             ctx-rh-postcentral              ctx-rh-paracentral    0.630709
        ctx-rh-superiortemporal                ctx-rh-precuneus    0.630251
        ctx-rh-superiortemporal      ctx-rh-medialorbitofrontal    0.630202
      ctx-rh-posteriorcingulate  ctx-lh-caudalanteriorcingulate    0.629986
               ctx-rh-precuneus           ctx-lh-middletemporal    0.629418
                  Left-Thalamus    Left-Cerebellum-White-Matter    0.628845
         ctx-rh-superiorfrontal      ctx-rh-caudalmiddlefrontal    0.628766
           ctx-rh-supramarginal         ctx-lh-inferiorparietal    0.628604
          ctx-lh-middletemporal                 ctx-lh-fusiform    0.628544
      ctx-rh-transversetemporal         ctx-rh-superiortemporal    0.628528
                  ctx-rh-insula         ctx-lh-superiortemporal    0.628232
         ctx-lh-superiorfrontal         ctx-lh-lateraloccipital    0.628168
         ctx-rh-superiorfrontal                ctx-lh-precuneus    0.628025
        ctx-rh-superiortemporal         ctx-rh-inferiortemporal    0.628005
         ctx-lh-superiorfrontal                  Right-Thalamus    0.627681
    ctx-lh-lateralorbitofrontal                  Right-Thalamus    0.627312
             ctx-rh-postcentral     ctx-lh-lateralorbitofrontal    0.626038
         ctx-rh-superiorfrontal            ctx-lh-supramarginal    0.626012
      ctx-lh-posteriorcingulate  ctx-lh-caudalanteriorcingulate    0.625976
         ctx-rh-superiorfrontal              ctx-rh-paracentral    0.625929
        ctx-rh-superiortemporal         ctx-lh-lateraloccipital    0.625829
              ctx-lh-precentral      ctx-lh-caudalmiddlefrontal    0.625588
        ctx-rh-superiortemporal                   Left-Amygdala    0.624729
        ctx-rh-superiortemporal                ctx-lh-precuneus    0.624420
        ctx-lh-superiortemporal     ctx-lh-lateralorbitofrontal    0.623962
                  hpcr_wm_right               ctx-lh-entorhinal    0.623465
ctx-lh-rostralanteriorcingulate         ctx-lh-inferiortemporal    0.623158
        ctx-rh-inferiortemporal                 ctx-lh-fusiform    0.622980
        ctx-lh-superiortemporal                 ctx-lh-fusiform    0.622850
         ctx-rh-superiorfrontal              ctx-lh-postcentral    0.622736
                  ctx-rh-insula ctx-lh-rostralanteriorcingulate    0.621275
        ctx-rh-superiortemporal ctx-lh-rostralanteriorcingulate    0.621044
           ctx-rh-pericalcarine                  ctx-rh-lingual    0.620867
             ctx-rh-paracentral              ctx-lh-postcentral    0.620112
    ctx-lh-lateralorbitofrontal         ctx-lh-inferiortemporal    0.619950
        ctx-lh-lateraloccipital      Left-Cerebral-White-Matter    0.619091
    ctx-rh-rostralmiddlefrontal              ctx-rh-postcentral    0.619039
                   Left-Putamen      Left-Cerebral-White-Matter    0.618620
     ctx-lh-medialorbitofrontal      Left-Cerebral-White-Matter    0.618109
             ctx-rh-postcentral          ctx-lh-superiorfrontal    0.617865
             Right-Inf-Lat-Vent          Left-Lateral-Ventricle    0.617643
               ctx-rh-precuneus                  Right-Thalamus    0.617617
               Left-Hippocampus                   Left-Thalamus    0.617559
         ctx-lh-superiorfrontal       ctx-lh-posteriorcingulate    0.617336
        ctx-rh-inferiorparietal     ctx-lh-lateralorbitofrontal    0.615858
        ctx-lh-superiortemporal           ctx-lh-middletemporal    0.615658
             ctx-rh-postcentral         ctx-rh-inferiorparietal    0.615568
           ctx-rh-supramarginal              ctx-rh-postcentral    0.615531
                 Right-Thalamus    Left-Cerebellum-White-Matter    0.615301
         ctx-lh-superiorfrontal      Left-Cerebral-White-Matter    0.615292
               ctx-lh-precuneus                  Right-Thalamus    0.615239
        ctx-lh-superiortemporal                   Left-Amygdala    0.614520
              ctx-lh-precentral  ctx-lh-caudalanteriorcingulate    0.614352
                  ctx-rh-insula           ctx-rh-middletemporal    0.614269
                  ctx-lh-insula         ctx-lh-inferiortemporal    0.614091
                Right-VentralDC                   Left-Amygdala    0.614009
           ctx-rh-supramarginal     ctx-lh-lateralorbitofrontal    0.613294
        ctx-rh-inferiorparietal                 ctx-rh-fusiform    0.613008
         ctx-lh-superiorfrontal                ctx-lh-precuneus    0.611357
         ctx-lh-superiorfrontal                   Left-Thalamus    0.611242
        ctx-rh-superiortemporal     ctx-lh-rostralmiddlefrontal    0.610764
        ctx-lh-inferiortemporal      Left-Cerebral-White-Matter    0.610462
ctx-lh-rostralanteriorcingulate                ctx-lh-precuneus    0.610221
