Pares de ROIs com correlação absoluta maior que 0.5:
                          ROI_1                           ROI_2  Correlacao
                  Left-Amygdala      Left-Cerebral-White-Matter    0.586629
        ctx-rh-lateraloccipital                ctx-lh-precuneus    0.586202
        ctx-rh-inferiortemporal      ctx-lh-medialorbitofrontal    0.585987
                  ctx-rh-insula            ctx-lh-supramarginal    0.585300
               ctx-rh-precuneus      ctx-rh-medialorbitofrontal    0.585169
        ctx-rh-inferiortemporal                ctx-lh-precuneus    0.584689
           ctx-rh-parsorbitalis     ctx-lh-lateralorbitofrontal    0.584685
                  ctx-rh-insula           ctx-lh-middletemporal    0.584493
               ctx-rh-precuneus                   Left-Thalamus    0.584415
                ctx-lh-fusiform      Left-Cerebral-White-Matter    0.584411
                Right-VentralDC                   Right-Putamen    0.584363
         ctx-lh-superiorfrontal                 ctx-lh-fusiform    0.583820
             ctx-rh-postcentral     ctx-lh-rostralmiddlefrontal    0.583723
        ctx-rh-lateraloccipital           ctx-lh-middletemporal    0.583628
                  ctx-rh-insula       ctx-lh-posteriorcingulate    0.583616
               ctx-rh-precuneus         ctx-lh-inferiortemporal    0.582941
             ctx-rh-postcentral                   Left-Thalamus    0.582872
           ctx-lh-supramarginal         ctx-lh-isthmuscingulate    0.582714
      ctx-rh-posteriorcingulate           ctx-rh-middletemporal    0.582541
          ctx-lh-middletemporal                   Left-Thalamus    0.582443
    ctx-lh-lateralorbitofrontal                 Right-VentralDC    0.582246
     ctx-rh-caudalmiddlefrontal                ctx-lh-precuneus    0.582151
        ctx-rh-inferiorparietal                 ctx-lh-fusiform    0.581791
                 Right-Thalamus                Left-Hippocampus    0.581664
        ctx-rh-lateraloccipital          ctx-lh-superiorfrontal    0.581354
                 ctx-lh-lingual                   ctx-lh-cuneus    0.581339
             ctx-rh-postcentral  ctx-lh-caudalanteriorcingulate    0.581250
        ctx-rh-inferiorparietal               ctx-lh-precentral    0.581215
        ctx-rh-inferiortemporal               ctx-lh-precentral    0.580812
             ctx-lh-paracentral         ctx-lh-lateraloccipital    0.580288
    ctx-rh-rostralmiddlefrontal           ctx-lh-middletemporal    0.580284
    ctx-lh-rostralmiddlefrontal         ctx-lh-inferiortemporal    0.580166
     ctx-rh-medialorbitofrontal            ctx-lh-supramarginal    0.580032
           Right-choroid-plexus                   3rd-Ventricle    0.580019
     ctx-rh-medialorbitofrontal  ctx-lh-caudalanteriorcingulate    0.579922
    ctx-rh-rostralmiddlefrontal      ctx-lh-caudalmiddlefrontal    0.579626
        ctx-lh-superiorparietal         ctx-lh-isthmuscingulate    0.579618
                  ctx-rh-insula                ctx-lh-precuneus    0.579099
        ctx-rh-inferiortemporal ctx-lh-rostralanteriorcingulate    0.579085
     ctx-rh-caudalmiddlefrontal     ctx-lh-lateralorbitofrontal    0.578932
        ctx-rh-inferiortemporal         ctx-lh-isthmuscingulate    0.578614
               ctx-rh-precuneus      ctx-rh-caudalmiddlefrontal    0.578379
        ctx-rh-superiortemporal       ctx-lh-posteriorcingulate    0.578148
             ctx-rh-paracentral          ctx-lh-superiorfrontal    0.577792
                  ctx-rh-insula                 Right-VentralDC    0.577587
               ctx-rh-precuneus      ctx-lh-medialorbitofrontal    0.577575
                 Right-Thalamus                    Left-Putamen    0.577533
ctx-rh-rostralanteriorcingulate          ctx-lh-superiorfrontal    0.577506
    ctx-rh-rostralmiddlefrontal                   ctx-lh-insula    0.577027
              ctx-lh-precentral      ctx-lh-medialorbitofrontal    0.576974
           ctx-lh-supramarginal      Left-Cerebral-White-Matter    0.576901
                  ctx-rh-insula ctx-rh-rostralanteriorcingulate    0.576075
             ctx-rh-postcentral         ctx-lh-superiorparietal    0.575979
        ctx-rh-superiortemporal         ctx-lh-inferiorparietal    0.575794
              ctx-lh-entorhinal               Right-Hippocampus    0.575620
        ctx-rh-superiortemporal              ctx-lh-paracentral    0.575440
           ctx-rh-supramarginal      Left-Cerebral-White-Matter    0.575355
                   hpcr_wm_left                Left-Hippocampus    0.575238
         ctx-lh-superiorfrontal              ctx-lh-postcentral    0.574709
        ctx-lh-lateraloccipital         ctx-lh-isthmuscingulate    0.574469
          ctx-lh-middletemporal                  Right-Thalamus    0.574414
    ctx-rh-rostralmiddlefrontal         ctx-lh-superiortemporal    0.574355
          ctx-rh-middletemporal         ctx-rh-lateraloccipital    0.574123
    ctx-lh-lateralorbitofrontal      ctx-lh-caudalmiddlefrontal    0.574106
        ctx-rh-inferiorparietal         ctx-lh-superiorparietal    0.573862
           ctx-lh-parsorbitalis     ctx-lh-lateralorbitofrontal    0.573768
ctx-lh-rostralanteriorcingulate       ctx-lh-posteriorcingulate    0.573735
                  Right-Putamen                  Right-Thalamus    0.573733
         Left-Cerebellum-Cortex      Left-Cerebral-White-Matter    0.573713
        ctx-rh-parstriangularis         ctx-lh-parstriangularis    0.573701
        ctx-lh-superiortemporal         ctx-lh-lateraloccipital    0.573662
        ctx-lh-inferiortemporal  ctx-lh-caudalanteriorcingulate    0.573537
        ctx-lh-superiorparietal              ctx-lh-postcentral    0.573484
             ctx-rh-paracentral     ctx-lh-lateralorbitofrontal    0.573420
                  ctx-rh-insula                   Left-Thalamus    0.573402
     ctx-rh-medialorbitofrontal         ctx-rh-inferiortemporal    0.573329
    ctx-lh-rostralmiddlefrontal              ctx-lh-postcentral    0.573106
    ctx-rh-rostralmiddlefrontal            ctx-lh-supramarginal    0.572791
           ctx-rh-pericalcarine                   ctx-rh-cuneus    0.572708
ctx-rh-rostralanteriorcingulate      ctx-lh-medialorbitofrontal    0.572589
           ctx-lh-supramarginal       ctx-lh-posteriorcingulate    0.572569
    ctx-lh-lateralorbitofrontal                  Left-VentralDC    0.572257
      ctx-lh-posteriorcingulate      ctx-lh-medialorbitofrontal    0.571724
    ctx-rh-rostralmiddlefrontal         ctx-lh-inferiorparietal    0.571533
            Left-choroid-plexus                             CSF    0.571371
        ctx-rh-inferiorparietal                  Right-Thalamus    0.571268
        ctx-rh-superiortemporal                 Right-VentralDC    0.570951
             ctx-lh-paracentral                  Right-Thalamus    0.570917
        ctx-rh-superiortemporal  ctx-lh-caudalanteriorcingulate    0.570862
             ctx-rh-paracentral       ctx-lh-posteriorcingulate    0.570801
             ctx-rh-postcentral           ctx-lh-middletemporal    0.570744
          ctx-rh-middletemporal               ctx-lh-precentral    0.570569
                  ctx-rh-insula         ctx-lh-isthmuscingulate    0.570374
                  ctx-lh-insula                ctx-lh-precuneus    0.570307
               ctx-rh-precuneus                 ctx-rh-fusiform    0.569991
             ctx-rh-paracentral                  Right-Thalamus    0.569535
               ctx-lh-precuneus  ctx-lh-caudalanteriorcingulate    0.569490
                  ctx-lh-insula     ctx-lh-rostralmiddlefrontal    0.569418
        ctx-rh-superiortemporal                  Left-VentralDC    0.569310
        ctx-lh-inferiortemporal                   Left-Amygdala    0.569113
               ctx-lh-precuneus                 ctx-lh-fusiform    0.569063
        ctx-lh-inferiortemporal         ctx-lh-inferiorparietal    0.569008
        ctx-rh-lateraloccipital                 ctx-rh-fusiform    0.568999
        ctx-rh-superiortemporal               ctx-rh-entorhinal    0.568950
                  ctx-rh-insula         ctx-rh-inferiortemporal    0.568860
           ctx-rh-supramarginal         ctx-rh-superiortemporal    0.568508
              Right-Hippocampus                  Right-Thalamus    0.568499
                ctx-lh-fusiform  ctx-lh-caudalanteriorcingulate    0.568486
               ctx-rh-precuneus                  ctx-rh-lingual    0.568405
         ctx-rh-parsopercularis          ctx-lh-parsopercularis    0.568295
                  ctx-rh-insula                  Left-VentralDC    0.568234
     ctx-lh-caudalmiddlefrontal  ctx-lh-caudalanteriorcingulate    0.568162
        ctx-rh-isthmuscingulate     ctx-lh-lateralorbitofrontal    0.568160
         ctx-rh-parahippocampal               ctx-rh-entorhinal    0.568089
             ctx-lh-paracentral      Left-Cerebral-White-Matter    0.568065
          ctx-rh-middletemporal  ctx-lh-caudalanteriorcingulate    0.567970
              ctx-lh-precentral                 ctx-lh-fusiform    0.567817
          ctx-rh-middletemporal                 Right-VentralDC    0.566808
        ctx-lh-inferiortemporal               ctx-lh-entorhinal    0.566716
      ctx-rh-posteriorcingulate      Left-Cerebral-White-Matter    0.566689
        ctx-rh-lateraloccipital                 ctx-lh-fusiform    0.566260
ctx-rh-rostralanteriorcingulate                   ctx-lh-insula    0.566244
           ctx-lh-pericalcarine                   ctx-lh-cuneus    0.566188
        ctx-rh-superiortemporal         ctx-rh-inferiorparietal    0.566177
                  ctx-rh-insula         ctx-lh-parstriangularis    0.566130
        ctx-lh-superiorparietal           ctx-lh-middletemporal    0.565611
               ctx-lh-precuneus      ctx-lh-medialorbitofrontal    0.565514
    ctx-rh-rostralmiddlefrontal                ctx-rh-precuneus    0.565466
             ctx-rh-paracentral      Left-Cerebral-White-Matter    0.565234
     ctx-lh-caudalmiddlefrontal      Left-Cerebral-White-Matter    0.565215
                  Right-Putamen      Left-Cerebral-White-Matter    0.565205
           ctx-rh-supramarginal      ctx-lh-medialorbitofrontal    0.564999
           Right-choroid-plexus                             CSF    0.564858
ctx-rh-rostralanteriorcingulate  ctx-rh-caudalanteriorcingulate    0.564813
          ctx-lh-middletemporal          Left-Cerebellum-Cortex    0.564722
         ctx-rh-superiorfrontal                   ctx-lh-cuneus    0.564541
           ctx-lh-supramarginal ctx-lh-rostralanteriorcingulate    0.564204
          ctx-rh-middletemporal          Left-Cerebellum-Cortex    0.563963
        ctx-rh-superiortemporal               ctx-lh-precentral    0.563958
          ctx-rh-middletemporal ctx-lh-rostralanteriorcingulate    0.563871
             ctx-lh-postcentral      ctx-lh-caudalmiddlefrontal    0.563827
                  ctx-rh-insula         ctx-rh-lateraloccipital    0.563743
                  ctx-rh-insula     ctx-lh-rostralmiddlefrontal    0.563703
      ctx-rh-transversetemporal       ctx-lh-transversetemporal    0.563689
               ctx-rh-precuneus       ctx-lh-posteriorcingulate    0.563679
        ctx-rh-isthmuscingulate      Left-Cerebral-White-Matter    0.563600
        ctx-lh-superiorparietal         ctx-lh-inferiorparietal    0.562936
     ctx-rh-medialorbitofrontal         ctx-lh-inferiortemporal    0.562723
          ctx-rh-middletemporal                  Left-VentralDC    0.562636
          ctx-rh-middletemporal      ctx-lh-medialorbitofrontal    0.562599
                  Left-Thalamus          Left-Cerebellum-Cortex    0.562315
                  ctx-lh-insula                   Left-Thalamus    0.561876
        ctx-lh-superiortemporal               ctx-lh-precentral    0.561687
     ctx-lh-medialorbitofrontal                Left-Hippocampus    0.561666
ctx-rh-rostralanteriorcingulate      Left-Cerebral-White-Matter    0.561521
                  ctx-rh-insula              ctx-lh-paracentral    0.561396
               ctx-rh-precuneus          Left-Cerebellum-Cortex    0.561365
             ctx-rh-postcentral                 Right-VentralDC    0.561301
                   hpcr_wm_left          ctx-lh-parahippocampal    0.561248
              Left-Inf-Lat-Vent          Left-Lateral-Ventricle    0.561165
           ctx-lh-pericalcarine                  ctx-lh-lingual    0.561059
              ctx-lh-precentral         ctx-lh-lateraloccipital    0.560892
                  ctx-rh-insula     ctx-rh-rostralmiddlefrontal    0.560721
                 ctx-lh-lingual      Left-Cerebral-White-Matter    0.560338
                  hpcr_wm_right               Right-Hippocampus    0.560283
        ctx-lh-superiortemporal          Left-Cerebellum-Cortex    0.560060
             ctx-rh-postcentral      ctx-lh-caudalmiddlefrontal    0.559983
        ctx-lh-superiortemporal                  Left-VentralDC    0.559982
                  Right-Putamen                  Left-VentralDC    0.559744
        ctx-lh-isthmuscingulate          Left-Cerebellum-Cortex    0.559732
        ctx-rh-inferiorparietal          ctx-lh-superiorfrontal    0.559706
        ctx-rh-superiortemporal         ctx-rh-lateraloccipital    0.559573
                  ctx-rh-insula               ctx-lh-precentral    0.559567
ctx-rh-rostralanteriorcingulate      ctx-rh-medialorbitofrontal    0.559490
            Left-Accumbens-area                    Left-Putamen    0.559412
             ctx-rh-postcentral                 ctx-lh-fusiform    0.559064
        ctx-rh-superiortemporal                 ctx-lh-fusiform    0.558873
         ctx-rh-superiorfrontal                   Left-Amygdala    0.558666
     ctx-lh-medialorbitofrontal                  Right-Thalamus    0.558521
               ctx-lh-precuneus                      Brain-Stem    0.558463
    ctx-rh-rostralmiddlefrontal         ctx-rh-inferiorparietal    0.558392
     ctx-rh-caudalmiddlefrontal     ctx-lh-rostralmiddlefrontal    0.558376
          ctx-lh-middletemporal                Left-Hippocampus    0.558362
          ctx-rh-middletemporal               Right-Hippocampus    0.558053
          ctx-rh-middletemporal                  Right-Thalamus    0.557912
                  ctx-lh-insula                  Right-Thalamus    0.557908
               ctx-rh-precuneus     ctx-lh-rostralmiddlefrontal    0.557813
         ctx-lh-superiorfrontal           ctx-lh-middletemporal    0.557630
        ctx-rh-inferiorparietal                 Right-VentralDC    0.557468
             ctx-lh-postcentral  ctx-lh-caudalanteriorcingulate    0.557334
    ctx-rh-rostralmiddlefrontal                ctx-lh-precuneus    0.557132
          ctx-rh-middletemporal         ctx-rh-isthmuscingulate    0.556790
               ctx-rh-precuneus         ctx-lh-superiortemporal    0.556632
               ctx-rh-precuneus                 ctx-lh-fusiform    0.556433
        ctx-rh-lateraloccipital                 Right-VentralDC    0.556294
      ctx-lh-posteriorcingulate      Left-Cerebral-White-Matter    0.556224
           ctx-rh-supramarginal               ctx-lh-precentral    0.556220
                  ctx-rh-insula         ctx-lh-lateraloccipital    0.556165
ctx-lh-rostralanteriorcingulate         ctx-lh-lateraloccipital    0.555700
             ctx-rh-postcentral                  Left-VentralDC    0.555700
        ctx-rh-inferiortemporal  ctx-lh-caudalanteriorcingulate    0.555661
                 ctx-rh-lingual         ctx-lh-lateraloccipital    0.555201
ctx-lh-rostralanteriorcingulate         ctx-lh-isthmuscingulate    0.554995
        ctx-lh-inferiortemporal                  Left-VentralDC    0.554862
      ctx-rh-posteriorcingulate                   ctx-lh-insula    0.554786
        ctx-lh-superiortemporal              ctx-lh-paracentral    0.554786
    ctx-lh-lateralorbitofrontal                   Left-Amygdala    0.554611
        ctx-lh-lateraloccipital                 ctx-lh-fusiform    0.554572
          ctx-lh-middletemporal                      Brain-Stem    0.554478
           ctx-rh-supramarginal         ctx-lh-isthmuscingulate    0.554430
          ctx-rh-middletemporal         ctx-lh-superiorparietal    0.554423
ctx-lh-rostralanteriorcingulate                  Left-VentralDC    0.554400
        ctx-rh-isthmuscingulate           ctx-lh-middletemporal    0.554315
                ctx-rh-fusiform         ctx-lh-superiortemporal    0.554212
         ctx-rh-superiorfrontal                 ctx-rh-fusiform    0.553853
    ctx-lh-rostralmiddlefrontal                  Right-Thalamus    0.553591
      ctx-rh-posteriorcingulate     ctx-lh-lateralorbitofrontal    0.553410
                   hpcr_wm_left                   Left-Amygdala    0.553255
             ctx-rh-paracentral                   Left-Thalamus    0.552948
     ctx-lh-medialorbitofrontal                   Left-Thalamus    0.552940
                  ctx-lh-insula                  Left-VentralDC    0.552911
        ctx-rh-isthmuscingulate         ctx-rh-inferiorparietal    0.552733
        ctx-rh-isthmuscingulate         ctx-lh-lateraloccipital    0.552497
             ctx-rh-postcentral ctx-lh-rostralanteriorcingulate    0.552126
           ctx-rh-supramarginal         ctx-lh-superiortemporal    0.552124
        ctx-lh-lateraloccipital                  Right-Thalamus    0.552104
                  ctx-lh-insula                 Right-VentralDC    0.552065
        ctx-lh-superiorparietal               ctx-lh-precentral    0.552062
    ctx-rh-rostralmiddlefrontal         ctx-rh-inferiortemporal    0.551965
          ctx-rh-middletemporal                  ctx-rh-lingual    0.551929
          ctx-rh-middletemporal          ctx-lh-superiorfrontal    0.551641
           ctx-lh-supramarginal              ctx-lh-paracentral    0.550972
           ctx-lh-supramarginal         ctx-lh-inferiortemporal    0.550799
        ctx-rh-inferiortemporal      Left-Cerebral-White-Matter    0.550792
      ctx-lh-posteriorcingulate                  Left-VentralDC    0.550764
         ctx-lh-superiorfrontal                   ctx-lh-cuneus    0.550525
        ctx-rh-inferiortemporal       ctx-lh-posteriorcingulate    0.550512
    ctx-rh-rostralmiddlefrontal              ctx-lh-postcentral    0.550504
               ctx-lh-precuneus      ctx-lh-caudalmiddlefrontal    0.550489
        ctx-rh-inferiortemporal         ctx-lh-lateraloccipital    0.550471
               ctx-rh-precuneus                      Brain-Stem    0.550346
        ctx-rh-inferiorparietal              ctx-lh-postcentral    0.550222
             ctx-rh-postcentral      ctx-rh-caudalmiddlefrontal    0.550184
           ctx-lh-supramarginal         ctx-lh-inferiorparietal    0.550076
             ctx-lh-postcentral                   Left-Thalamus    0.549505
     ctx-rh-medialorbitofrontal      Left-Cerebral-White-Matter    0.549401
    ctx-lh-rostralmiddlefrontal                ctx-lh-precuneus    0.549294
    ctx-rh-rostralmiddlefrontal                  Right-Thalamus    0.549293
    ctx-lh-rostralmiddlefrontal         ctx-lh-lateraloccipital    0.549278
        ctx-lh-inferiortemporal                 ctx-lh-fusiform    0.549052
        ctx-rh-superiortemporal                 ctx-rh-fusiform    0.548995
        ctx-rh-lateraloccipital         ctx-rh-inferiorparietal    0.548980
                 Right-Thalamus          Left-Cerebellum-Cortex    0.548922
        ctx-rh-inferiorparietal     ctx-lh-rostralmiddlefrontal    0.548857
    ctx-rh-rostralmiddlefrontal         ctx-rh-lateraloccipital    0.548832
                  Right-Putamen                   Left-Thalamus    0.548733
        ctx-lh-isthmuscingulate                 Right-VentralDC    0.548424
        ctx-rh-superiortemporal               Right-Hippocampus    0.548280
                  ctx-rh-insula         ctx-rh-inferiorparietal    0.548166
                  ctx-rh-insula       ctx-rh-posteriorcingulate    0.547919
        ctx-rh-lateraloccipital               ctx-lh-precentral    0.547841
ctx-rh-rostralanteriorcingulate     ctx-lh-rostralmiddlefrontal    0.547773
ctx-lh-rostralanteriorcingulate                   Left-Thalamus    0.547471
      ctx-lh-posteriorcingulate              ctx-lh-paracentral    0.547456
        ctx-lh-lateraloccipital                   Left-Thalamus    0.547327
         ctx-rh-superiorfrontal         ctx-lh-parstriangularis    0.547316
           ctx-rh-supramarginal              ctx-lh-postcentral    0.547023
             ctx-lh-paracentral                 Right-VentralDC    0.546584
        ctx-rh-lateraloccipital         ctx-lh-inferiorparietal    0.546485
         ctx-rh-superiorfrontal         ctx-lh-superiorparietal    0.546441
           ctx-lh-supramarginal         ctx-lh-superiorparietal    0.546323
        ctx-rh-lateraloccipital         ctx-lh-superiortemporal    0.546280
        ctx-lh-superiortemporal                   Left-Thalamus    0.546025
             ctx-lh-postcentral         ctx-lh-inferiorparietal    0.545925
        ctx-rh-superiortemporal       ctx-rh-posteriorcingulate    0.545845
     ctx-lh-medialorbitofrontal                  Left-VentralDC    0.545755
        ctx-rh-superiortemporal              ctx-rh-paracentral    0.545697
    ctx-lh-rostralmiddlefrontal           ctx-lh-middletemporal    0.545350
         ctx-lh-parahippocampal               Right-Hippocampus    0.545199
                 ctx-rh-lingual         ctx-rh-isthmuscingulate    0.545091
                  ctx-rh-insula                   Left-Amygdala    0.544991
        ctx-rh-superiortemporal ctx-rh-rostralanteriorcingulate    0.544857
           ctx-rh-supramarginal         ctx-rh-inferiorparietal    0.544840
ctx-lh-rostralanteriorcingulate         ctx-lh-inferiorparietal    0.544831
     ctx-rh-caudalmiddlefrontal      Left-Cerebral-White-Matter    0.544770
ctx-lh-rostralanteriorcingulate                 ctx-lh-fusiform    0.544554
              ctx-lh-precentral                      Brain-Stem    0.544394
           Right-choroid-plexus         Right-Lateral-Ventricle    0.544112
                  ctx-lh-insula              ctx-lh-paracentral    0.543968
                  ctx-lh-insula         ctx-lh-lateraloccipital    0.543730
         ctx-rh-superiorfrontal         ctx-lh-isthmuscingulate    0.543564
    ctx-rh-rostralmiddlefrontal              ctx-lh-paracentral    0.543437
        ctx-lh-superiortemporal       ctx-lh-posteriorcingulate    0.543413
     ctx-lh-medialorbitofrontal         ctx-lh-inferiorparietal    0.543304
             ctx-lh-postcentral                  Right-Thalamus    0.543018
         ctx-rh-parahippocampal                Left-Hippocampus    0.542964
         ctx-rh-superiorfrontal                   ctx-rh-cuneus    0.542880
           Right-Accumbens-area                   Left-Amygdala    0.542855
           ctx-rh-supramarginal ctx-lh-rostralanteriorcingulate    0.542498
      ctx-rh-posteriorcingulate ctx-lh-rostralanteriorcingulate    0.542441
        ctx-rh-isthmuscingulate         ctx-lh-inferiorparietal    0.542261
        ctx-lh-superiortemporal               ctx-lh-entorhinal    0.542200
             ctx-rh-paracentral         ctx-lh-superiorparietal    0.542198
        ctx-lh-inferiortemporal                Left-Hippocampus    0.542100
           ctx-rh-supramarginal      ctx-rh-medialorbitofrontal    0.541995
               ctx-rh-precuneus              ctx-rh-paracentral    0.541981
                ctx-rh-fusiform                ctx-lh-precuneus    0.541881
                ctx-rh-fusiform      Left-Cerebral-White-Matter    0.541834
           ctx-lh-supramarginal  ctx-lh-caudalanteriorcingulate    0.541723
           ctx-rh-supramarginal          ctx-rh-superiorfrontal    0.541709
           ctx-rh-parsorbitalis            ctx-lh-parsorbitalis    0.541541
             ctx-lh-paracentral                  Left-VentralDC    0.541369
              ctx-lh-precentral         ctx-lh-inferiortemporal    0.541316
             ctx-lh-postcentral              ctx-lh-paracentral    0.541252
               ctx-lh-precuneus                  ctx-lh-lingual    0.541246
        ctx-rh-inferiortemporal                Left-Hippocampus    0.541169
        ctx-lh-superiorparietal                   Left-Thalamus    0.541124
                  ctx-lh-insula                   Left-Amygdala    0.540969
             ctx-rh-paracentral  ctx-lh-caudalanteriorcingulate    0.540689
        ctx-lh-superiortemporal                 Right-VentralDC    0.540609
        ctx-rh-lateraloccipital                  Left-VentralDC    0.540523
    ctx-lh-rostralmiddlefrontal                   Left-Thalamus    0.540492
ctx-lh-rostralanteriorcingulate              ctx-lh-postcentral    0.540367
    ctx-rh-rostralmiddlefrontal           ctx-rh-middletemporal    0.540303
          ctx-rh-middletemporal                   Left-Amygdala    0.540076
           ctx-rh-supramarginal         ctx-lh-superiorparietal    0.540063
             ctx-rh-paracentral         ctx-rh-inferiorparietal    0.540052
      ctx-lh-posteriorcingulate                 Right-VentralDC    0.539892
        ctx-rh-superiortemporal                   ctx-lh-cuneus    0.539673
               ctx-lh-precuneus          Left-Cerebellum-Cortex    0.539649
           ctx-rh-supramarginal         ctx-rh-inferiortemporal    0.539429
                  Left-Amygdala                    Left-Putamen    0.539343
                  hpcr_wm_right                Left-Hippocampus    0.539126
                  ctx-lh-insula                 ctx-lh-fusiform    0.538907
        ctx-rh-inferiortemporal               ctx-rh-entorhinal    0.538819
             ctx-rh-paracentral         ctx-lh-inferiorparietal    0.538719
    ctx-rh-rostralmiddlefrontal         ctx-lh-inferiortemporal    0.538622
ctx-lh-rostralanteriorcingulate                 Right-VentralDC    0.538607
    ctx-rh-rostralmiddlefrontal                 ctx-lh-fusiform    0.538497
                 ctx-rh-lingual         ctx-rh-inferiorparietal    0.538326
                  ctx-lh-insula         ctx-lh-parstriangularis    0.538183
           ctx-lh-supramarginal                 Right-VentralDC    0.538177
             ctx-rh-postcentral           ctx-rh-middletemporal    0.538073
            Left-choroid-plexus          Left-Lateral-Ventricle    0.537874
            Left-Accumbens-area                   Left-Amygdala    0.537855
 ctx-lh-caudalanteriorcingulate                   Left-Thalamus    0.537689
          ctx-rh-middletemporal       ctx-lh-posteriorcingulate    0.537673
        ctx-lh-superiortemporal                ctx-lh-precuneus    0.537608
               ctx-rh-precuneus                  ctx-lh-lingual    0.537339
             ctx-rh-postcentral       ctx-lh-posteriorcingulate    0.537197
     ctx-rh-medialorbitofrontal                ctx-lh-precuneus    0.537117
    ctx-rh-rostralmiddlefrontal                   Left-Thalamus    0.537030
         ctx-lh-superiorfrontal                 Right-VentralDC    0.536934
        ctx-rh-inferiortemporal                   Left-Amygdala    0.536888
          ctx-rh-middletemporal      ctx-rh-medialorbitofrontal    0.536880
      ctx-lh-transversetemporal     ctx-lh-lateralorbitofrontal    0.536877
        ctx-lh-superiorparietal         ctx-lh-lateraloccipital    0.536653
        ctx-lh-isthmuscingulate                  Left-VentralDC    0.536622
                  ctx-rh-insula              ctx-rh-postcentral    0.536479
        ctx-rh-inferiorparietal              ctx-lh-paracentral    0.536436
     ctx-rh-caudalmiddlefrontal              ctx-lh-postcentral    0.536398
        ctx-rh-inferiortemporal      ctx-rh-caudalmiddlefrontal    0.536311
        ctx-lh-superiortemporal                  Right-Thalamus    0.536290
      ctx-lh-posteriorcingulate                   Left-Thalamus    0.536245
         ctx-lh-superiorfrontal                  Left-VentralDC    0.536094
                Right-VentralDC             Left-Accumbens-area    0.535947
     ctx-rh-medialorbitofrontal           ctx-lh-middletemporal    0.535805
     ctx-rh-medialorbitofrontal         ctx-lh-isthmuscingulate    0.535737
               ctx-lh-precuneus       ctx-lh-posteriorcingulate    0.535263
                Right-VentralDC               Right-Hippocampus    0.535117
      ctx-rh-posteriorcingulate              ctx-rh-paracentral    0.535103
        ctx-rh-lateraloccipital         ctx-lh-superiorparietal    0.534894
             ctx-lh-paracentral                   Left-Thalamus    0.534448
 ctx-rh-caudalanteriorcingulate  ctx-lh-caudalanteriorcingulate    0.534415
        ctx-rh-isthmuscingulate            ctx-lh-supramarginal    0.534413
        ctx-rh-inferiorparietal                  Left-VentralDC    0.534024
      ctx-rh-posteriorcingulate            ctx-lh-supramarginal    0.533769
    ctx-rh-rostralmiddlefrontal       ctx-lh-posteriorcingulate    0.533204
        ctx-lh-inferiorparietal                 Right-VentralDC    0.533169
                  ctx-rh-cuneus      Left-Cerebral-White-Matter    0.532994
      ctx-rh-transversetemporal         ctx-lh-superiortemporal    0.532914
        ctx-rh-superiortemporal         ctx-lh-isthmuscingulate    0.532698
                  ctx-lh-insula               ctx-lh-precentral    0.532622
        ctx-rh-lateraloccipital                   Left-Thalamus    0.532587
ctx-lh-rostralanteriorcingulate               ctx-lh-precentral    0.532511
ctx-lh-rostralanteriorcingulate              ctx-lh-paracentral    0.532329
           ctx-lh-supramarginal              ctx-lh-postcentral    0.532232
    ctx-rh-rostralmiddlefrontal         ctx-lh-lateraloccipital    0.532114
              ctx-lh-precentral         ctx-lh-inferiorparietal    0.532083
           ctx-rh-supramarginal     ctx-rh-rostralmiddlefrontal    0.531990
         ctx-rh-superiorfrontal                      Brain-Stem    0.531972
                ctx-rh-fusiform         ctx-lh-inferiorparietal    0.531798
    ctx-rh-rostralmiddlefrontal         ctx-lh-isthmuscingulate    0.531753
             ctx-rh-postcentral         ctx-lh-isthmuscingulate    0.531651
        ctx-lh-superiorparietal                  Right-Thalamus    0.531523
                  3rd-Ventricle               Left-Inf-Lat-Vent    0.531452
        ctx-lh-inferiortemporal                 Right-VentralDC    0.531403
                ctx-rh-fusiform          ctx-lh-superiorfrontal    0.531191
        ctx-rh-inferiorparietal         ctx-lh-isthmuscingulate    0.531188
                  Left-Pallidum                    Left-Caudate    0.530979
             Right-Inf-Lat-Vent                   3rd-Ventricle    0.530950
     ctx-rh-caudalmiddlefrontal                  Right-Thalamus    0.530793
          ctx-rh-middletemporal                Left-Hippocampus    0.530685
         ctx-rh-superiorfrontal         ctx-lh-inferiorparietal    0.530399
      ctx-rh-transversetemporal          ctx-rh-superiorfrontal    0.530375
        ctx-rh-inferiorparietal                      Brain-Stem    0.529821
                 ctx-rh-lingual      Left-Cerebral-White-Matter    0.529779
        Right-Lateral-Ventricle             Left-choroid-plexus    0.529764
    ctx-lh-rostralmiddlefrontal              ctx-lh-paracentral    0.529422
      ctx-rh-transversetemporal          ctx-lh-superiorfrontal    0.529288
                  ctx-rh-insula                 ctx-rh-fusiform    0.529231
      ctx-rh-posteriorcingulate      ctx-lh-medialorbitofrontal    0.528984
        ctx-lh-superiorparietal          ctx-lh-superiorfrontal    0.528905
              ctx-lh-precentral         ctx-lh-isthmuscingulate    0.528881
      ctx-lh-transversetemporal         ctx-lh-superiortemporal    0.528793
      ctx-rh-posteriorcingulate                ctx-lh-precuneus    0.528629
